Kennzeichen;Identnummer;Bankleitzahl;Institutsart;Sektor;Firmenbuchnummer;Bankenname;Stra�e;PLZ;Ort;Postadresse / Stra�e;Postadresse / PLZ;Postadresse / Ort;Postfach;Bundesland;Telefon;Fax;E-Mail;SWIFT-Code;Homepage;Gr�ndungsdatum;LEI
Hauptanstalt;263451;36273;KI;Raiffeisen;39856m;Raiffeisenbank Matrei am Brenner und Umgebung eGen;Raiffeisenplatz 43a;6143;Matrei am Brenner;;;;;Tirol;05273/6111;05999/3688872090;info@raibamatrei.at;RZTIAT22273;www.raibamatrei.at;02.05.1897;529900NPXLPY9ZGPM933
Hauptanstalt;263524;34630;KI;Raiffeisen;94698m;Raiffeisenbank Region Schwanenstadt eGen;Stadtpl. 25-26;4690;Schwanenstadt;;;;;Ober�sterreich;07673/2213;05999/34909/44615;rb-schwanenstadt@raiffeisen-ooe.at;RZOOAT2L630;www.raiffeisen-ooe.at/region-schwanenstadt;29.05.1889;529900TC3EY5B3RLQ506
Hauptanstalt;263540;36274;KI;Raiffeisen;40020d;Raiffeisenbank Mayrhofen und Umgebung eGen;Hauptstra�e 401;6290;Mayrhofen;;;;;Tirol;05285/62255;05285/6225536;raiba.mayrhofen@rbgt.raiffeisen.at;RZTIAT22274;www.raiffeisen.at/rb-mayrhofen;01.01.1900;529900E207YAMW45CB47
Hauptanstalt;263575;34322;KI;Raiffeisen;93513w;Raiffeisenbank Mondseeland eGen;Rainerstr. 11;5310;Mondsee;;5310;Mondsee;29;Ober�sterreich;06232/3151;;rb@mondseeland.com;RZOOAT2L322;www.mondseeland.com;20.11.1949;529900QKLWKZ49J6PF68
Hauptanstalt;266035;36283;KI;Raiffeisen;41558s;Raiffeisenbank Nauders eGen;Dr.-Tschiggfrey-Stra�e 66;6543;Nauders;;;;;Tirol;05473/87230;05473/87720;raika.nauders@rbgt.raiffeisen.at;RZTIAT22283;www.raiffeisen.at/nauders;01.05.1895;529900Z10JDBSAQJ4L06
Hauptanstalt;266051;34522;KI;Raiffeisen;110326w;Raiffeisenbank St.Florian am Inn eGen;St. Florian 50;4782;St. Florian am Inn;;;;;Ober�sterreich;+43 7712 2729;;rb-stflorian-inn@raiffeisen-ooe.at;RZOOAT2L522;www.ooe.raiffeisen.at/stflorian;23.06.1901;5299004MQEQMFM5P7A39
Hauptanstalt;266078;36285;KI;Raiffeisen;41635d;Raiffeisenbank Neustift-Mieders-Sch�nberg im Stubaital eGen;Dorf 2;6167;Neustift im Stubaital;;;;;Tirol;05226/2333;05226/233385-73490;office@rb-stubai.at;RZTIAT22285;www.rb-stubai.at;01.01.1891;5299005D7BSJAXC1U023
Hauptanstalt;266086;34523;KI;Raiffeisen;94574f;Raiffeisenbank Attergau eGen;Attergaustra�e 38a;4880;St. Georgen im Attergau;;;;;Ober�sterreich;07667/6571;07667/657137;rb-attergau@raiffeisen-ooe.at;RZOOAT2L523;www.raiffeisen-ooe.at/attergauer;25.11.1892;529900GA6PI4RR9P1615
Hauptanstalt;266140;32985;KI;Raiffeisen;55056s;Raiffeisenbank Weinviertel Nordost eGen;Hauptstr. 39;2225;Zistersdorf;Hauptstrasse 39;2225;Zistersdorf;;Nieder�sterreich;02532/2363;02532/2363-999;info.32985@rbwno.at;RLNWATWWZDF;www.rbwno.at;07.10.1894;529900W1A4T0O6Z1NS59
Hauptanstalt;285919;35001;KI;Raiffeisen;37217g;Raiffeisenbank Lammertal eGen;Markt 49;5441;Abtenau;;;;;Salzburg;06243/2500;;info@lammertal.raiffeisen.at;RVSAAT2S001;www.lammertal.raiffeisen.at;29.11.1891;529900B1I234XFGXB654
Hauptanstalt;285935;36368;KI;Raiffeisen;41360z;Raiffeisenbank Sillian eGen;Marktplatz 10;9920;Sillian;;;;;Tirol;04842/6331;05999/36888/52099;raiffeisen@banksillian.at;RZTIAT22368;www.raiffeisenbank-sillian.at;01.01.1897;529900P3CZ7LEADT4B05
